session 1, vis = '1', n_trials = 10
session 52, vis = '1', n_trials = 13
session 52, vis = '2', n_trials = 7
session 52, vis = '3', n_trials = 12
session 53, vis = '1', n_trials = 13
session 53, vis = '2', n_trials = 13
session 53, vis = '3', n_trials = 6
session 54, vis = '1', n_trials = 15
session 54, vis = '2', n_trials = 9
session 54, vis = '3', n_trials = 8

vis = 1.0,mean frames = 3.00000
vis = 1.0,prob(press 1) = 0.5202, p(press 2) = 0.4798

vis = 2.0,mean frames = 4.00000
vis = 2.0,prob(press 1) = 0.4507, p(press 2) = 0.5493

vis = 3.0,mean frames = 5.00000
vis = 3.0,prob(press 1) = 0.4926, p(press 2) = 0.5074
vis = '1',N = 669,mean frames = 2.85 +/- 1.64
p(correct) = 0.5934
RT = 0.419 +/- 0.211
vis = '2',N = 639,mean frames = 4.12 +/- 1.76
p(correct) = 0.7809
RT = 0.400 +/- 0.201
vis = '3',N = 337,mean frames = 5.05 +/- 2.04
p(correct) = 0.9436
RT = 0.434 +/- 0.198
