session 1, vis = '1', n_trials = 13
session 21, vis = '2', n_trials = 7
session 21, vis = '3', n_trials = 11
session 22, vis = '1', n_trials = 13
session 22, vis = '2', n_trials = 5
session 22, vis = '3', n_trials = 14
session 23, vis = '1', n_trials = 12
session 23, vis = '2', n_trials = 11
session 23, vis = '3', n_trials = 9
session 24, vis = '1', n_trials = 15
session 24, vis = '2', n_trials = 6
session 24, vis = '3', n_trials = 11
session 25, vis = '1', n_trials = 13
session 25, vis = '2', n_trials = 10
session 25, vis = '3', n_trials = 7
session 26, vis = '1', n_trials = 13
session 26, vis = '2', n_trials = 11
session 26, vis = '3', n_trials = 8
session 27, vis = '1', n_trials = 14
session 27, vis = '2', n_trials = 9
session 27, vis = '3', n_trials = 9
session 28, vis = '1', n_trials = 11
session 28, vis = '2', n_trials = 5
session 28, vis = '3', n_trials = 15
session 29, vis = '1', n_trials = 15
session 29, vis = '2', n_trials = 4
session 29, vis = '3', n_trials = 12
session 30, vis = '1', n_trials = 14
session 30, vis = '2', n_trials = 9
session 30, vis = '3', n_trials = 9
session 31, vis = '1', n_trials = 15
session 31, vis = '3', n_trials = 17
session 32, vis = '1', n_trials = 15
session 32, vis = '2', n_trials = 2
session 32, vis = '3', n_trials = 15
session 33, vis = '1', n_trials = 15
session 33, vis = '2', n_trials = 2
session 33, vis = '3', n_trials = 14
session 34, vis = '1', n_trials = 13
session 34, vis = '2', n_trials = 7
session 34, vis = '3', n_trials = 12
session 35, vis = '1', n_trials = 12
session 35, vis = '2', n_trials = 6
session 35, vis = '3', n_trials = 10
session 36, vis = '1', n_trials = 12
session 36, vis = '2', n_trials = 5
session 36, vis = '3', n_trials = 14
session 37, vis = '1', n_trials = 13
session 37, vis = '2', n_trials = 6
session 37, vis = '3', n_trials = 12
session 38, vis = '1', n_trials = 12
session 38, vis = '2', n_trials = 9
session 38, vis = '3', n_trials = 10
session 39, vis = '1', n_trials = 14
session 39, vis = '2', n_trials = 8
session 39, vis = '3', n_trials = 9
session 40, vis = '1', n_trials = 14
session 40, vis = '2', n_trials = 6
session 40, vis = '3', n_trials = 11
session 41, vis = '1', n_trials = 15
session 41, vis = '2', n_trials = 6
session 41, vis = '3', n_trials = 11
session 42, vis = '1', n_trials = 14
session 42, vis = '2', n_trials = 7
session 42, vis = '3', n_trials = 11
session 43, vis = '1', n_trials = 14
session 43, vis = '2', n_trials = 7
session 43, vis = '3', n_trials = 11
session 44, vis = '1', n_trials = 14
session 44, vis = '2', n_trials = 9
session 44, vis = '3', n_trials = 8
session 45, vis = '1', n_trials = 15
session 45, vis = '2', n_trials = 5
session 45, vis = '3', n_trials = 12
session 46, vis = '1', n_trials = 15
session 46, vis = '2', n_trials = 1
session 46, vis = '3', n_trials = 15
session 47, vis = '1', n_trials = 12
session 47, vis = '2', n_trials = 8
session 47, vis = '3', n_trials = 12
session 48, vis = '1', n_trials = 14
session 48, vis = '2', n_trials = 1
session 48, vis = '3', n_trials = 16
session 49, vis = '1', n_trials = 15
session 49, vis = '2', n_trials = 5
session 49, vis = '3', n_trials = 11
session 50, vis = '1', n_trials = 14
session 50, vis = '2', n_trials = 4
session 50, vis = '3', n_trials = 13
session 51, vis = '1', n_trials = 15
session 51, vis = '2', n_trials = 4
session 51, vis = '3', n_trials = 12
session 52, vis = '1', n_trials = 14
session 52, vis = '2', n_trials = 6
session 52, vis = '3', n_trials = 11
session 53, vis = '1', n_trials = 14
session 53, vis = '2', n_trials = 3
session 53, vis = '3', n_trials = 15
session 54, vis = '1', n_trials = 14
session 54, vis = '2', n_trials = 4
session 54, vis = '3', n_trials = 14

vis = 1.0,mean frames = 2.00000
vis = 1.0,prob(press 1) = 0.4439, p(press 2) = 0.5561

vis = 2.0,mean frames = 3.00000
vis = 2.0,prob(press 1) = 0.4905, p(press 2) = 0.5095

vis = 3.0,mean frames = 4.00000
vis = 3.0,prob(press 1) = 0.5304, p(press 2) = 0.4696
vis = '1',N = 748,mean frames = 2.27 +/- 1.40
p(correct) = 0.5508
RT = 0.548 +/- 0.295
vis = '2',N = 369,mean frames = 3.58 +/- 1.54
p(correct) = 0.7751
RT = 0.707 +/- 0.325
vis = '3',N = 575,mean frames = 4.32 +/- 1.78
p(correct) = 0.9304
RT = 0.580 +/- 0.292
